Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
15,3,3,11,11,20,12,14,10,36,12
13,9,7,14,19,19,11,18,33,21,18
12,8,6,12,10,11,13,13,15,11,18
11,4,5,15,12,14,17,19,32,25,27
7,5,6,8,10,10,15,14,25,12,12
11,5,6,9,15,14,13,15,24,7,15
21,11,8,4,15,19,4,14,15,18,15
20,6,9,11,15,18,9,17,14,16,9
11,4,3,15,16,16,14,17,27,9,11
25,10,10,8,12,14,8,19,17,39,19
4,3,3,8,20,20,20,16,28,24,12
24,14,5,10,17,12,16,18,18,18,12
17,5,5,4,13,18,11,18,24,32,15
14,11,10,13,17,15,13,18,25,22,19
11,15,13,20,20,17,12,20,41,16,22
10,8,6,18,19,17,11,20,40,26,17
28,12,9,14,17,16,11,13,21,13,17
18,9,8,14,14,13,12,14,23,22,22
20,9,9,8,15,15,10,14,24,24,24
14,12,12,12,16,7,14,18,38,18,26
21,13,8,15,20,18,16,15,10,28,9
17,10,12,14,12,12,12,12,18,25,21
25,9,9,11,18,17,9,18,35,12,29
20,10,9,15,13,16,14,14,20,20,23
11,5,5,11,18,19,18,18,42,11,11
13,7,9,9,17,14,6,14,29,21,23
23,6,4,8,19,16,7,20,25,12,26
21,10,8,14,12,10,10,16,27,25,26
9,6,6,17,16,10,12,17,30,17,37
21,12,9,12,14,15,7,19,36,25,24
12,11,9,15,16,16,14,16,33,23,24
28,9,14,17,19,20,5,20,20,22,34
27,12,7,13,19,14,6,20,12,7,6
19,12,8,14,17,14,13,17,18,9,13
23,10,9,17,18,11,10,12,25,22,20
23,10,8,15,14,12,9,13,26,28,25
29,8,3,6,15,5,4,10,6,23,6
16,11,9,13,10,7,14,19,39,19,16
13,9,3,12,17,12,7,20,28,15,14
31,3,3,13,15,4,6,16,21,36,42
